"Run/Debug","Execute","⌘U","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Terminal view commands","Terminal view insert","⌥G","Terminal widget context"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Papyrus Category","Routing By Bottom Command","⇧⌃↓","Diagram Editing"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"File","New","⌘N","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Terminal view commands","Terminal view insert","⌥S","Terminal widget context"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥A","Terminal widget context"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Update org.eclipse.papyrus.diagram.communication diagram","F5","In org.eclipse.papyrus.diagram.communication Diagram Editor"
"File","Close","⌘W","In Windows"
"Terminal view commands","Terminal view insert","⌥E","Terminal widget context"
"Text Editing","Delete Line","⌘D","Editing Text"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Spy","Plug-in Selection Spy","⌥⌘F1","In Dialogs and Windows"
"Text Editing","Delete Next","⌃D","Editing Text"
"Uncategorized","selectSa&meType","⌃⌥A","Diagram Editing"
"Edit","Update PapyrusUMLProfilDiagram diagram","F5","In PapyrusUMLProfilDiagram Diagram Editor"
"Terminal view commands","Terminal view insert","⌥R","Terminal widget context"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Terminal view commands","Terminal view insert","⌥N","Terminal widget context"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Views","Show View (Hierarchy)","⌥⌘Q T","JavaScript View"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Window","Close Dialog","⌘W","In Dialogs"
"Views","Show View","⌥⌘Q Q","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Papyrus Category","Command to Zoom In","⌃=","Diagram Editing"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Text Editing","Text Start","↖","Editing Text"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Task","Open Selected Task","⌘↩","In Tasks View"
"Task","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Terminal view commands","Terminal view insert","⌥W","Terminal widget context"
"Run/Debug","EOF","⌃D","In I/O Console"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Views","Show View (Script Explorer)","⌥⌘Q P","JavaScript View"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Task","Mark Task Complete","⇧⌥C","In Tasks View"
"File","Print","⌘P","In Windows"
"Task","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Window","Minimize","⌘M","In Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Edit","Duplicate","⇧⌘D","Diagram Editing"
"Edit","Delete","⌦","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Navigate","Matching Bracket","⇧⌘P","Editing in Structured Text Editors"
"Papyrus Category","Routing By Righ Command","⇧⌃→","Diagram Editing"
"Terminal view commands","Terminal view insert","⌥T","Terminal widget context"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Task","Mark Task Read","⇧⌥R","In Tasks View"
"Run/Debug","Step Over","F6","Debugging"
"Papyrus Category","Delete From Diagram Command","⌦","Diagram Editing"
"Edit","Update UML diagram","F5","In UML Diagram Editor"
"Text Editing","Previous Word","⌥←","Editing Text"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Window","Next View","⌘F7","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"File","New menu","⌥⌘N","In Windows"
"Navigate","Forward History","⌘]","In Windows"
